20/6/202415:12:13,27.91,51.39,30,45.47340116666666, 9.202593666666667
20/6/202415:12:18,28.02,51.19,31,45.47339733333333,9.2025925
20/6/202415:12:23,28.13,51.21,31,45.4733975,9.202592666666668
20/6/202415:12:28,28.22,51.32,31,45.473397000000006,9.2025935
20/6/202415:12:33,28.3,51.31,30,45.473397000000006,9.202594666666666
20/6/202415:12:38,28.35,51.19,30,45.47339650000001,9.202594666666666
20/6/202415:13:08,28.4,49.75,30,45.4733925,9.202598833333331
20/6/202415:13:13,28.46,49.89,30,45.47339166666667,9.202599
20/6/202415:13:18,28.42,49.95,31,45.47339116666667,9.2025985
20/6/202415:13:37,28.47,50.16,30,45.47339116666667,9.202599333333334
20/6/202415:13:42,28.55,50.28,31,45.47339116666667,9.202601666666668
20/6/202415:13:47,28.64,51.07,30,45.4733915,9.202601833333334
20/6/202415:13:52,28.6,51.44,30,45.4733925,9.2026035
20/6/202415:13:57,28.5,50.2,29,45.47339366666667,9.202603
20/6/202415:14:02,28.33,49.5,29,45.4733945,9.202602
20/6/202415:14:07,28.25,50.42,29,45.47339433333333,9.202601499999998
20/6/202415:14:12,28.09,50.62,30,45.47339066666667,9.202602666666667
20/6/202415:14:17,28.02,50.82,29,45.47339066666667,9.202600333333333
20/6/202415:14:22,27.89,51.03,30,45.47339183333334,9.202599
20/6/202415:14:27,27.83,50.4,27,45.47339283333334,9.202598666666669
20/6/202415:14:32,27.75,50.02,28,45.473393,9.202597833333334
20/6/202415:14:37,27.61,49.9,28,45.47339316666667,9.202597166666669
20/6/202415:14:42,27.57,50.09,29,45.47339350000001,9.202596166666666
20/6/202415:14:47,27.57,50.44,28,45.47339716666667,9.2025975
20/6/202415:14:52,27.58,50.48,28,45.473396666666666,9.202597333333332
20/6/202415:14:57,27.62,50.67,29,45.473396333333326,9.2025955
20/6/202415:15:02,27.61,50.36,29,45.47339650000001,9.202593833333331
20/6/202415:15:07,27.65,51.58,29,45.47339716666667,9.202592833333334
20/6/202415:15:12,27.67,51.92,28,45.473398,9.202592166666667
20/6/202415:15:17,27.74,51.34,30,45.47339916666667,9.202591333333334
20/6/202415:15:22,27.8,50.86,28,45.47340033333333,9.2025905
20/6/202415:15:27,27.8,51.17,30,45.47340016666667,9.202590666666667
20/6/202415:15:32,27.85,51.33,30,45.4734005,9.202590166666663
20/6/202415:15:37,27.87,50.49,29,45.473400833333336,9.202589833333333
20/6/202415:15:42,27.87,51.42,29,45.473402,9.2025835
20/6/202415:15:47,27.89,51.15,28,45.47340183333334,9.202583
20/6/202415:15:52,27.89,51.2,27,45.47340183333334,9.2025835
20/6/202415:15:57,27.94,50.71,30,45.47340283333333,9.202583833333334
20/6/202415:16:02,27.98,50.59,29,45.473402,9.202585666666666
20/6/202415:16:07,28.04,50.75,29,45.4734035,9.202586333333333
20/6/202415:16:12,28.08,51.32,29,45.47340633333333,9.202581833333332
20/6/202415:16:17,28.12,52.13,29,45.47340883333333,9.202583666666667
20/6/202415:16:22,28.2,52.85,29,45.47341033333334,9.202585666666666
20/6/202415:16:27,28.27,53.07,30,45.473411166666665,9.202587
20/6/202415:16:32,28.33,53.23,29,45.47341266666668,9.202589
20/6/202415:16:37,30.27,66.27,30,45.47341333333334,9.2025925
20/6/202415:16:42,29.72,55.03,29,45.47341433333333,9.202595666666667
20/6/202415:16:47,29.59,51.27,30,45.47341616666666,9.202599833333332
20/6/202415:16:52,29.49,50.15,30,45.47341783333333,9.2026035
20/6/202415:16:57,29.41,49.03,30,45.47342183333333,9.2026055
20/6/202415:17:02,29.34,49.26,31,45.47342400000001,9.202606166666667
20/6/202415:17:07,29.26,48.79,31,45.47342666666667,9.202606
20/6/202415:17:12,29.24,49.61,28,45.47342866666666,9.202606166666667
20/6/202415:17:17,29.18,49.54,30,45.4734295,9.202607666666667
20/6/202415:17:22,29.08,49.57,29,45.473431,9.2026095
20/6/202415:17:27,28.95,50.28,29,45.47343316666667,9.202611166666664
