Timestamp,Temperature,Humidity,Air Quality,Latitude,Longitude
2024-06-20 15:24:02,28.69,50.97,28,45.47346933333333,9.202673833333334
2024-06-20 15:24:07,28.73,50.74,27,45.47347,9.202674
2024-06-20 15:24:12,28.78,49.94,27,45.47347016666666,9.202674
2024-06-20 15:24:17,28.8,49.66,29,45.47347,9.202673833333334
2024-06-20 15:24:22,28.77,49.7,27,45.47347016666666,9.202672666666668
2024-06-20 15:24:27,28.77,48.87,28,45.47347016666666,9.202672166666668
2024-06-20 15:24:32,28.7,48.95,27,45.47347033333334,9.202671666666667
2024-06-20 15:24:37,28.63,49.1,28,45.47347083333334,9.202670833333334
2024-06-20 15:24:42,28.57,49.3,27,45.473471,9.20267
2024-06-20 15:24:47,28.64,49.77,27,45.47347133333333,9.2026695
2024-06-20 15:24:52,28.64,49.92,27,45.47347166666667,9.202668833333332
2024-06-20 15:24:57,28.64,49.15,27,45.47347166666667,9.202668166666664
2024-06-20 15:25:02,28.64,49.06,27,45.473472,9.202667666666668
2024-06-20 15:25:07,28.59,48.9,26,45.47347183333333,9.202667333333332
2024-06-20 15:25:12,28.52,48.75,27,45.47347166666667,9.202667166666666
2024-06-20 15:25:17,28.46,49.25,27,45.473472,9.202666833333334
2024-06-20 15:25:22,28.39,48.76,27,45.47347233333333,9.202666333333331
2024-06-20 15:25:27,28.39,49.01,28,45.47347283333333,9.202666166666669
2024-06-20 15:25:32,28.35,49.4,27,45.4734735,9.202666666666666
2024-06-20 15:25:37,28.36,49.28,27,45.47347416666666,9.202666833333334
2024-06-20 15:25:42,28.35,49.48,27,45.47347799999999,9.202695166666668
2024-06-20 15:25:47,28.39,49.29,27,45.47347566666667,9.202708333333334
2024-06-20 15:25:52,28.4,49.99,27,45.47347783333333,9.202727833333334
2024-06-20 15:25:57,28.46,49.98,26,45.4734635,9.202777333333334
2024-06-20 15:26:02,28.53,49.84,28,45.4734455,9.202838333333334
2024-06-20 15:26:07,28.6,49.63,28,45.47341733333333,9.2029195
